status_id,num_likes,first_page_comment,comments_beyond_pageone
163364503715353_1029067410478387,1,0,0
163364503715353_1028898793828582,0,1,0
163364503715353_1028457370539391,553,20,13
163364503715353_1028254303893031,0,2,0
163364503715353_1028099763908485,0,2,0
163364503715353_1028060257245769,0,1,0
163364503715353_776736825771628,0,0,0
163364503715353_867114656729153,0,0,0
163364503715353_1027636830621445,187,20,70
163364503715353_1027546593963802,0,2,0
163364503715353_1027545877297207,0,3,0
163364503715353_1018722924846265,1,0,0
163364503715353_1027151194003342,0,2,0
163364503715353_1027128014005660,0,0,0
163364503715353_1027057167346078,0,2,0
163364503715353_957508417644916,0,0,0
163364503715353_1026743324044129,108,4,8
163364503715353_1026664497385345,130,8,10
163364503715353_1026650107386784,181,3,8
163364503715353_1026649514053510,130,0,5
163364503715353_1026615777390217,205,2,9
163364503715353_1026612064057255,61,0,10
163364503715353_1026608547390940,77,0,15
163364503715353_1026607454057716,44,4,11
163364503715353_1026607220724406,28,0,7
163364503715353_1026603100724818,77,6,6
163364503715353_1026576667394128,255,6,8
163364503715353_846856552078191,0,0,0
163364503715353_846852255411954,0,0,0
163364503715353_846851495412030,0,0,0
163364503715353_874618975992353,0,0,0
163364503715353_1026267164091745,84,5,7
163364503715353_1195524290462807,0,0,0
163364503715353_1025799134138548,283,24,18
163364503715353_1025748507476944,0,0,0
163364503715353_1025404217511373,203,28,18
163364503715353_1025347264183735,0,1,0
163364503715353_1024974404221021,75,3,8
163364503715353_1024906804227781,0,1,0
163364503715353_1024866394231822,51,0,1
163364503715353_1024836217568173,0,0,0
163364503715353_1024834317568363,1,1,0
163364503715353_1024519047599890,0,1,0
163364503715353_1024503607601434,69,3,6
163364503715353_1024463127605482,0,0,0
163364503715353_1024456910939437,40,3,10
163364503715353_1024420517609743,0,2,0
163364503715353_1024397294278732,51,0,2
163364503715353_1024321927619602,0,1,0
163364503715353_1024320120953116,0,1,0
163364503715353_1024277570957371,0,0,0
163364503715353_1024092154309246,70,1,4
