status_id,num_likes,first_page_comment,comments_beyond_pageone
115332808485663_983064701712465,36345,193,52
115332808485663_982717401747195,1504,44,13
115332808485663_982573241761611,30679,138,38
115332808485663_982111838474418,27056,113,33
115332808485663_982026438482958,3344,49,42
115332808485663_981961218489480,24759,225,72
115332808485663_981617028523899,1111,31,11
115332808485663_981541935198075,1327,38,10
115332808485663_981084725243796,25031,167,58
115332808485663_981020285250240,2075,27,16
115332808485663_980959231923012,25699,135,40
115332808485663_980593918626210,1001,41,47
115332808485663_980506528634949,1784,38,25
115332808485663_980448635307405,34528,235,76
115332808485663_980048355347433,1501,34,7
115332808485663_979971932021742,1997,32,16
115332808485663_979893852029550,1889,46,21
115332808485663_979544948731107,3306,71,49
115332808485663_979480582070877,1318,28,6
115332808485663_979404145411854,19419,105,54
115332808485663_979055382113397,2419,51,37
115332808485663_978962052122730,1775,45,25
115332808485663_978443282174607,3790,106,56
115332808485663_978365188849083,2923,34,24
115332808485663_978287132190222,30307,224,159
115332808485663_977908528894749,17534,137,73
115332808485663_977821225570146,2364,35,24
115332808485663_977564318929170,18235,703,2424
115332808485663_977396392279296,1303,48,7
115332808485663_977300518955550,19969,162,60
115332808485663_977240428961559,1618,52,0
115332808485663_977535452265390,840,20,7
115332808485663_977211998964402,16844,96,31
115332808485663_976891742329761,2750,52,22
115332808485663_976804989005103,712,20,3
115332808485663_976748432344092,57076,426,126
115332808485663_976415999044002,1935,67,13
115332808485663_976361919049410,1738,51,12
115332808485663_976337195718549,1729,56,10
115332808485663_976236852395250,2427,43,21
115332808485663_975755795776689,4028,73,48
115332808485663_975651129120489,2211,70,18
115332808485663_975562382462697,31113,224,72
115332808485663_974703729215229,32935,221,101
115332808485663_974628779222724,3262,49,39
115332808485663_974534425898826,23774,178,91
115332808485663_974142962604639,2847,47,29
115332808485663_974074449278157,1347,36,13
115332808485663_973997789285823,5470,77,40
115332808485663_973657875986481,1933,53,12
115332808485663_973595355992733,32859,273,169
115332808485663_973523019333300,3052,69,42
115332808485663_972995966052672,1983,30,17
115332808485663_972918652727070,2639,49,27
115332808485663_972903382728597,973,54,14
115332808485663_972847036067565,183456,657,420
115332808485663_972474062771529,1769,40,12
115332808485663_972357089449893,2473,64,12
115332808485663_972280129457589,30399,401,163
115332808485663_971943856157883,2099,60,10
115332808485663_971864712832464,5112,53,58
115332808485663_971786029506999,61255,681,224
115332808485663_971427869542815,2040,53,20
115332808485663_971423756209893,3399,122,62
115332808485663_971367849548817,182837,2313,1220
115332808485663_971356236216645,1142,31,12
115332808485663_971253922893543,79624,541,204
115332808485663_970888522930083,4307,109,36
115332808485663_970818702937065,3615,62,32
115332808485663_970736796278589,111968,896,561
115332808485663_970336342985301,3173,80,39
115332808485663_970260762992859,4657,43,29
115332808485663_970192656333003,14295,163,30
115332808485663_969844699701132,3713,68,34
115332808485663_969761516376117,6185,79,78
